name,title,file,srid,features,status,bytes,sha256,source_url
geoserver:adama_lulc_wgs84_v1,adama_lulc_wgs84_v1,adama_lulc_wgs84_v1.zip,EPSG:4326,9242,exists,9975235,10bcf508c2e3276e7dff6e349884ae5be42d285166f11d5edf23b2c3f3ebe0c7,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:adama_lulc_wgs84_v1
geoserver:bishoftu_aoi,bishoftu_aoi,bishoftu_aoi.zip,EPSG:4326,4,exists,261356,4ac33efb8f227265d4e96b9fa2d195e0c26134664853c2ad286482267dddfbd8,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:bishoftu_aoi
geoserver:building_web_v7,building_web_v7,building_web_v7.zip,EPSG:4326,64123,exists,10284968,bef4970a416ec7ba3711bf7aea6081994f8d7ea4c6bbd9ae49cf952a62dcf047,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:building_web_v7
geoserver:cities_Am_web_v7,cities_Am_web_v7,cities_Am_web_v7.zip,EPSG:4326,71,exists,6700,71d2c4b3717d55fef1f4e78cfc08109272488b7f55a9bd8423ded1a69834acbd,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:cities_Am_web_v7
geoserver:cities_Or_web_v7,cities_Or_web_v7,cities_Or_web_v7.zip,EPSG:4326,71,exists,6742,5587f49486ddde2b28039d390404c059e29451ab68caf89d04125494523f5759,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:cities_Or_web_v7
geoserver:cities_web_v7,cities_web_v7,cities_web_v7.zip,EPSG:4326,71,exists,6638,d62ae995d632c1a77a9da7ffe384a43b865acb5f6080d95ddb01ede291248c33,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:cities_web_v7
geoserver:das_road_network,das_road_network,das_road_network.zip,EPSG:4326,147717,exists,37037991,033bf372a14ac529a8553f721ed5d478c5ddeea6dacfd56f7249f49ef3340b50,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:das_road_network
geoserver:driving_direction,driving_direction,driving_direction.zip,EPSG:4326,139,exists,43364,3be3ddeab918bd4c8977cec6dcce0d3e50b6a031fcc86feb1e24e0628fd3cb2d,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:driving_direction
geoserver:dukem&bishoftu_lulc,dukem&bishoftu_lulc,dukem_bishoftu_lulc.zip,EPSG:404000,6293,exists,4264953,68305d4d54c82e90989190f90fdfe57b7a9424b073094659625794217cb0d0a4,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:dukem&bishoftu_lulc
geoserver:eth_aoi,eth_aoi,eth_aoi.zip,EPSG:4326,1,exists,95363,ad2e3e21a4ac53bf6ca41df53b02aca53183e6db98feb92deb726309f9621d27,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:eth_aoi
geoserver:landmark_Am_web_v7,landmark_Am_web_v7,landmark_Am_web_v7.zip,EPSG:4326,10202,exists,1388114,80aa0b536ce32183ff72a08ba05a793e240d23954172bf1590105b89e335b637,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:landmark_Am_web_v7
geoserver:landmark_web_v7,landmark_web_v7,landmark_web_v7.zip,EPSG:4326,10202,exists,1388084,b7ff1a318a8c0192cedcaea48a1079b987e4ec52b3cc8ae261a088be2d16b681,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:landmark_web_v7
geoserver:lulc_v7,lulc_v7,lulc_v7.zip,EPSG:4326,113105,exists,105472100,0c1f1d8ac9d5e904316c1ce9dcca78dedd3d372a717c20650d96d9d72f293e6a,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:lulc_v7
geoserver:nh_aoi_web_v7,nh_aoi_web_v7,nh_aoi_web_v7.zip,EPSG:4326,3780,exists,7072301,315da310aafde04562ab2e0642cd0d44fa50224b9fd20e7c4acbc67240cb068e,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:nh_aoi_web_v7
geoserver:nsl_sub_city_lulc_wgs84_v1,nsl_sub_city_lulc_wgs84_v1,nsl_sub_city_lulc_wgs84_v1.zip,EPSG:4326,4160,exists,2087341,611870f04fc8069a524d7aae1d41c439fb541d2fc57d52723f9ba20a2f93884c,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:nsl_sub_city_lulc_wgs84_v1
geoserver:pa_roads,pa_roads,pa_roads.zip,EPSG:4326,9,exists,850126,127647fe138cdb11033a0825d1d2b02d01ed2afb2e7ae6452fac636d38645c45,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:pa_roads
geoserver:parcel_mobile_v777,parcel_mobile_v7777,parcel_mobile_v777.zip,EPSG:4326,404950,exists,62924289,3e7d65355451c9113067fb13618b43c365891e26439d670cee54b92bf904608f,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:parcel_mobile_v777
geoserver:parcel_web_v7,parcel_web_v7,parcel_web_v7.zip,EPSG:4326,741888,exists,118335456,c8caae4e0872c3e0f652fef6635f98b82cf0fc959a633c4a5b5cd7a97fae0f04,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:parcel_web_v7
geoserver:road_network,road_network,road_network.zip,EPSG:4326,65973,exists,19005772,3fe18bd52056d960495e6fa791429198af47f1557fbe9cab6afe307799694f5c,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:road_network
geoserver:road_network111,road_network111,road_network111.zip,EPSG:4326,7171,exists,1478718,99c2acba6b2875b76293a9814dff7136f606a61f1fcbcf90e34e6071937d7add,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:road_network111
geoserver:road_polygon_web_v7,road_polygon_web_v7,road_polygon_web_v7.zip,EPSG:4326,13724,exists,57268302,44ea945bd95b372a5efe07c2c85db142253344acf0ab225a55271bf2c12a4ad3,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:road_polygon_web_v7
geoserver:road_signs,road_signs,road_signs.zip,EPSG:4326,102,exists,6137,2d7499e01d3bcc6cdf0a2a5025c52fe0673b372ca99d1b5986ce0cee03f76679,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:road_signs
geoserver:sign_pole,sign_pole,sign_pole.zip,EPSG:4326,643,exists,38955,dd222316b969aae361ccd2fde31270742724e6ca2fe1fcff1dedcb910e7bbdfc,http://edas.et:8080/geoserver/wfs?request=GetFeature&typeName=geoserver:sign_pole
