pk,title,alternate,file,srid,category,features,status,bytes,sha256,abstract,detail_url
112,Addis Ababa Covid19 Sites,geonode:aa_covid19_sites,112_aa_covid19_sites.zip,EPSG:4326,,39,ok,5272,522accb8cfae85383fed56e00be97c2859792c1cc6df2c034be9f7aedb219382,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/112
115,Addis Ababa Market Place,geonode:aa_marketplace,115_aa_marketplace.zip,EPSG:4326,,9,ok,1576,c550c1b9c4318f907aa3f48320bf5a27f31f7eb6ec4d29ed06ebefa3b37780fd,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/115
123,Addis Ababa Police Stations,geonode:aapolice_stations,123_aapolice_stations.zip,EPSG:4326,,336,ok,21961,78859070effea5a9654f12b425f704d577c6a690da434c4c67697fce905adca0,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/123
119,Addis Ababa Basic Unions,geonode:addis_ababa_basic_unions,119_addis_ababa_basic_unions.zip,EPSG:4326,,160,ok,14408,bdffe48d4da55658a7f7b9c5be79b62a39aad526f3fd0b36e14efa20807c0fff,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/119
120,Addis Ababa Low Income,geonode:addis_ababa_low_income_blocks_2fc37ae8dbf73c2285cb662dc44848f8,120_addis_ababa_low_income_blocks.zip,EPSG:4326,,6385,ok,294841,697b20e50d6d146dfa1cd4965dca221fc03b4bf0686cc7a2e0b8a286b0e52d2b,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/120
125,Addis Ababa Qurry,geonode:addis_ababa_qurry,125_addis_ababa_qurry.zip,EPSG:4326,,286,ok,29348,af44cfd07ad9abfc7fcb7e00afbb5190f4f4ca6c54dd97f3a0aa1f55a82903c0,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/125
122,Addis Ababa unions,geonode:addis_ababa_unions,122_addis_ababa_unions.zip,EPSG:4326,,10,ok,2247,304c2ae79d418e1b7ba945a033a5869028f6f7a4e470cefa70dc9275de2a4051,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/122
126,Addis Ababa Woreda,geonode:addis_ababa_woreda_1,126_addis_ababa_woreda_1.zip,EPSG:4326,,116,ok,1330057,4084f8d46145f87ce531d9f6fc4b640526933a85f80a83a3f64c289f0cd7473b,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/126
111,Afar,geonode:afar,111_afar.zip,EPSG:4326,,126,ok,8732,f20e874d629ba7581eb6ff715e9ef7be36e5aca718db7d0f71b6a7021f88d130,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/111
114,Afar Region Hospitals,geonode:afar_1,114_afar_1.zip,EPSG:4326,,10,ok,1771,51242cd25b0680b69399acca179be635d581ec7cb942438558ec626da9d9b975,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/114
79,akaki_kality,geonode:akaki_kality,79_akaki_kality.zip,EPSG:20137,,131,ok,5342,1963cb8e807b9de62e08516a461ed1fca82fe5f4d76c588d3dd2ec6beef46497,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/79
109,All Place Markets Final,geonode:all_place_markes_final,109_all_place_markes_final.zip,EPSG:4326,,15715,ok,818797,8e51de6f3ac7a183bb31041cf4ea7739dcec2056f6501963c4333b882ea69d7d,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/109
110,Amhara Region University,geonode:amhara,110_amhara.zip,EPSG:4326,,11,ok,1774,6e0b771e9e23d0f2ee790468a8e6614944b8c4ee03b0d87dbd2dcb4a870b1700,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/110
78,amhara_shemachoch,geonode:amhara_shemachoch,78_amhara_shemachoch.zip,EPSG:4326,,428,ok,28289,2b2659e18f9c216ed0491fde7241cfd99d8e3ac25a41b02b352bf64f0e2f04b5,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/78
85,arada_sub_city_storage,geonode:arada_sub_city_storage,85_arada_sub_city_storage.zip,EPSG:20137,,33,ok,2753,225175852128db56954c9f729fefbe081e41f28e8cf93002af45ce7c20a6a2db,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/85
86,bank,geonode:bank,86_bank.zip,EPSG:3857,,1456,ok,97753,f141072c369555112a2da48467f00f2d4b2cfd6191152f4666f64a7fc792c84e,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/86
89,benishangul_gumuz,geonode:benishangul_gumuz,89_benishangul_gumuz.zip,EPSG:4326,,52,ok,4758,f955deb161b7f485ccb0412e27e53a4de9117d14191a70fa773e7d5cdd2e5c1d,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/89
91,benishangul_gumuz_covid_treatment_bed_capacity,geonode:benishangul_gumuz_covid_treatment_bed_capacity,91_benishangul_gumuz_covid_treatment_bed_capacity.zip,EPSG:4326,,35,ok,4136,396299ff8638164da7ff62814c21cfcd46383c3cae78ab3b6aa34cf5cef3e16f,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/91
97,bole_subcity_boundary,geonode:bole_subcity_boundary,97_bole_subcity_boundary.zip,EPSG:20137,,1,ok,15629,aee9085c1d698b530e4e7fdbbc564e55d4be5ad211ea6d9c079692257ff6adfd,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/97
98,child_support_within_institutes,geonode:child_support_within_institutes,98_child_support_within_institutes.zip,EPSG:4326,,27,ok,2930,ac012b425985de767b3ea4b9dee247a1d74a46e0ec70022e175f2022c1449672,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/98
107,covid19_ethio_towns,geonode:covid19_ethio_towns,107_covid19_ethio_towns.zip,EPSG:20137,,935,ok,96816,9d387b38ad84ccf36668305a66bee22054ae0297204ce7902c25b70c27e9c8fe,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/107
100,covid_ethio_towns,geonode:covid_ethio_towns,100_covid_ethio_towns.zip,EPSG:4326,,1128,ok,156557,ec68d1b592222261e8d040267c023a67211883b1f4c7649e66acb3f1da32d3c6,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/100
102,covid_laboratory,geonode:covid_laboratory,102_covid_laboratory.zip,EPSG:4326,,37,ok,3808,d18e3dcbed2ce6c73eaca8a1bf9699c774f05ec555a216f9c994bfaeddf8d5ee,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/102
x,,geonode:cultural_features,x_cultural_features.zip,,,8992,ok,606944,c4c57703ed78ef62287e3d3622397ed5b394b61acd220f76acbd0543a9aabc48,,https://ethionsdi.gov.et/catalogue/#/dataset/x
77,dire_dawa_shemach,geonode:dire_dawa_shemach,77_dire_dawa_shemach.zip,EPSG:4326,,86,ok,6698,48854708a803c4344990cd0078f6c653d04021ed5d0bf45b0402a87f86f38de6,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/77
106,diredawa_covid_treatment_bed_capacity,geonode:diredawa_covid_treatment_bed_capacity,106_diredawa_covid_treatment_bed_capacity.zip,EPSG:4326,,3,ok,1610,e49da75dda8f42106a13a54899bfe125dbdb8b91f475decb73454e45f28c4a2e,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/106
108,Diredawa Quarry,geonode:diredawa_quarry,108_diredawa_quarry.zip,EPSG:4326,,80,ok,5702,63b9154043bc62b79dc627cf1ecbe5094ec580c843afb6b128e814d1e02cdc09,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/108
5,eth_adm0,geonode:eth_adm0,5_eth_adm0.zip,EPSG:4326,,1,ok,38728,ce48f506dbf995caaece566f2d41590edf500006b07bad5ebf785edf66f7158c,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/5
105,eth_roads,geonode:eth_roads,105_eth_roads.zip,EPSG:4326,,1650,ok,391740,61d5f65ef10d6575b29e2bdcb219e316cd75629806ba57296046e972513b0a1d,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/105
80,eth_woreda_2013,geonode:eth_woreda_2013,80_eth_woreda_2013.zip,EPSG:32637,,789,ok,1303005,248142212c2f605190d080b6474aa7ca7233ca4e77b4c5a43c34a349f213ba0d,No abstract provided,https://ethionsdi.gov.et/catalogue/#/dataset/80
