file,geometry,features,epsg,wfs_features,flag,note
100_covid_ethio_towns.zip,Point,1128,4326,1128,,ok
102_covid_laboratory.zip,Point,37,4326,37,,ok
105_eth_roads.zip,Line String,1650,4326,1650,,ok
106_diredawa_covid_treatment_bed_capacity.zip,Point,3,4326,3,,ok
107_covid19_ethio_towns.zip,Point,935,4201,935,,ok
108_diredawa_quarry.zip,Point,80,4326,80,,ok
109_all_place_markes_final.zip,Point,15715,4326,15715,,ok
110_amhara.zip,Point,11,4326,11,,ok
111_afar.zip,Point,126,4326,126,,ok
112_aa_covid19_sites.zip,Point,39,4326,39,,ok
114_afar_1.zip,Point,10,4326,10,,ok
115_aa_marketplace.zip,Point,9,4326,9,,ok
119_addis_ababa_basic_unions.zip,Point,160,4326,160,,ok
120_addis_ababa_low_income_blocks.zip,Point,6385,4326,6385,,ok
122_addis_ababa_unions.zip,Point,10,4326,10,,ok
123_aapolice_stations.zip,Point,336,4326,336,,ok
125_addis_ababa_qurry.zip,Point,286,4326,286,,ok
126_addis_ababa_woreda_1.zip,Polygon,116,4326,116,,ok
162_primary_hosp.zip,Point,163,4326,163,,ok
32_local_non_governmental_organizations.zip,Point,32,4326,32,,ok
33_somali.zip,Point,52,4326,52,,ok
34_lideta_sub_city_storage.zip,Point,7,4201,7,,ok
35_locked_blocks.zip,Polygon,4,4326,4,,ok
36_kolfestore_1.zip,Point,112,4326,112,,ok
37_somali_covid_treatment_bed_capacity.zip,Point,11,4326,11,,ok
39_gulele_subcitystorage.zip,Point,43,4201,43,,ok
40_gambella_covid_treatment_bed_capacity.zip,Point,1,4326,1,,ok
41_store_and_place_marks.zip,Point,9289,4326,9289,,ok
42_support_for_elderly.zip,Point,6,4326,6,,ok
43_tigray_quarry.zip,Point,180,4326,180,,ok
45_tigray_covid_treatment_bed_capacity.zip,Point,12,4326,12,,ok
47_general_hosp.zip,Point,73,4326,73,,ok
48_harar_covid_treatment_bed_capacity.zip,Point,6,4326,6,,ok
49_support_for_street_youth.zip,Point,4,4326,4,,ok
51_major_cities1.zip,Multi Point,13,4326,13,,ok
52_university_teaching_hosp.zip,Point,7,4326,7,,ok
53_tigray_consumer_shops.zip,Point,119,4326,119,,ok
54_market_places.zip,Point,34,4326,34,,ok
55_n_s_lafto.zip,Point,169,4201,169,,ok
56_mather_and_child_support.zip,Point,6,4326,6,,ok
58_road_2.zip,Line String,67689,4326,67689,,ok
59_gumruk_tabeya.zip,Point,84,4201,84,,ok
5_eth_adm0.zip,Polygon,1,4326,1,,ok
61_harar_shemach.zip,Point,29,4326,29,,ok
62_oromiya_lime_stone_quarry.zip,Point,14,4326,14,,ok
63_points.zip,Point,2958,4326,2958,,ok
65_quarante_place.zip,Point,41,4326,41,,ok
66_referral_hosp.zip,Point,35,4326,35,,ok
70_river_sand.zip,Point,14,4326,14,,ok
71_oromia.zip,Point,28,4326,28,,ok
77_dire_dawa_shemach.zip,Point,86,4326,86,,ok
78_amhara_shemachoch.zip,Point,428,4326,428,,ok
79_akaki_kality.zip,Point,131,4201,131,,ok
80_eth_woreda_2013.zip,Polygon,789,32637,789,,ok
81_gambella.zip,Point,122,4326,122,,ok
85_arada_sub_city_storage.zip,Point,33,4201,33,,ok
86_bank.zip,Point,1456,3857,1456,,ok
87_foodstore_safetenet.zip,Point,7168,4326,7168,,ok
88_foodstore_new.zip,Point,783,4326,783,,ok
89_benishangul_gumuz.zip,Point,52,4326,52,,ok
90_ethio_towns.zip,Point,935,4201,935,,ok
91_benishangul_gumuz_covid_treatment_bed_capacity.zip,Point,35,4326,35,,ok
93_ethiopia_hospital_distrubition.zip,Point,43,4201,43,,ok
97_bole_subcity_boundary.zip,Polygon,1,4201,1,,ok
98_child_support_within_institutes.zip,Point,27,4326,27,,ok
x_cultural_features.zip,Point,8992,3857,8992,,ok
x_gazetteer_50k_data.zip,Point,23105,4326,23105,,ok
x_rural_schools.zip,Point,42741,3857,42741,,ok
x_urban_schools.zip,Point,21064,3857,21064,,ok
